country,region,surv-self,trad-sec
Albania,African-Islamic,-0.6363837366225352,0.5409741053858074
Algeria,African-Islamic,-0.7846167006320163,-0.5073355507075868
Andorra,Catholic Europe,2.3162577193363925,0.5931283348732782
Argentina,Latin America,0.6608469849523784,-0.2687814753387612
Armenia,Orthodox Europe,-0.8348087973206566,-0.5649790555585834
Australia,English-Speaking,2.5836073651850415,-0.015616637862114272
Austria,Catholic Europe,1.261025753534141,0.2029739238325697
Azerbaijan,African-Islamic,-1.088863109163622,-0.3966667064080669
Bangladesh,African-Islamic,-0.6303319129144555,-1.2679743358622149
Belarus,Orthodox Europe,-0.29904596040865944,0.7019343315938429
Belgium,Catholic Europe,1.2826434189724578,0.2887172043822486
Bolivia,Latin America,-0.2937322158532885,-1.0214073145020888
Bosnia Herzegovina,Orthodox Europe,-0.5331246820387443,0.3329794138466188
Brazil,Latin America,0.10867400188308196,-0.47559638684736566
Bulgaria,Orthodox Europe,-0.3523640660070292,1.3785188763759666
Burkina Faso,African-Islamic,-0.7007378138360131,-0.9486413381239438
Canada,English-Speaking,2.07576843066409,0.03771258765853309
Chile,Latin America,0.26974055160462057,-0.16250466223158827
China,Confucian,0.10281758154241628,0.7698830869569028
Colombia,Latin America,0.20345807127677162,-1.599778040870252
Croatia,Catholic Europe,0.2388896497119347,0.14054410078775859
Cyprus,West & South Asia,-0.155111675437019,-0.3728412779303064
Czechia,Catholic Europe,0.9617529139489079,1.2578430049230438
Denmark,Protestant Europe,2.734872119201212,0.6218096706040572
Ecuador,Latin America,-0.07077802978679745,-1.5874973954862395
Estonia,Orthodox Europe,-0.02963062067930578,1.316862534455078
Ethiopia,African-Islamic,-0.7637136962707544,-0.7290833825482917
Finland,Protestant Europe,1.8962432594641432,0.5621167179819145
France,Catholic Europe,1.3948850261000187,0.4771121550648016
Georgia,Orthodox Europe,-1.1775304561084325,-0.4158556592790908
Germany,Protestant Europe,1.3978208215289418,1.1810604396765163
Ghana,African-Islamic,-0.8052392696746236,-1.6008082051510697
Great Britain,English-Speaking,1.9685665564470005,0.12518801762580387
Greece,Orthodox Europe,0.29470285844930366,0.343633589575234
Guatemala,Latin America,-0.14463025290064868,-1.3938264190792948
Haiti,Latin America,0.23598123332297136,-0.7034167389035196
Hong Kong SAR,Confucian,0.5187518533918669,1.424185726176281
Hungary,Catholic Europe,-0.16327343393902527,0.7923988096524522
Iceland,Protestant Europe,1.8933258513103184,-0.10606005540805911
India,West & South Asia,-0.389570272994274,-0.4014079259178285
Indonesia,West & South Asia,-0.8407319934488721,-0.7288241710947725
Iran,African-Islamic,-0.7907629668216412,-0.2666879814053849
Iraq,African-Islamic,-1.1967007418500903,-0.4660282725479414
Ireland,English-Speaking,0.8423600402095318,-1.1276560392341366
Italy,Catholic Europe,0.6467049109023337,0.20501843903275496
Japan,Confucian,1.3534637809036263,1.6781724054570542
Jordan,African-Islamic,-1.2674144250244601,-1.2205039169635723
Kazakhstan,African-Islamic,-0.4532761453558333,-0.060127467937926074
Kenya,African-Islamic,-0.11663695353334887,-0.7640491065606618
Kosovo,African-Islamic,-0.36475469155725015,-0.9480176830489982
Kyrgyzstan,African-Islamic,-0.5680990584191008,-0.7416084212172296
Latvia,Catholic Europe,-0.31869863220268335,1.0768383662839713
Lebanon,African-Islamic,-0.8066265641403509,-0.09988157962189964
Libya,African-Islamic,-1.001827991108484,-1.3678142669647049
Lithuania,Catholic Europe,-0.3552849169433116,1.211278230961766
Luxembourg,Catholic Europe,1.7747344822665363,0.39160786979571544
Macau SAR,Confucian,0.5917147178969614,1.3555281911992416
Malaysia,West & South Asia,-0.3404219592875822,-0.3537711873957667
Maldives,African-Islamic,-0.5471023437393572,-1.1249034632941912
Mali,African-Islamic,-0.018899615229862624,-1.227707525939328
Malta,Latin America,-0.10426811878165651,-1.257649401110139
Mexico,Latin America,0.5297416197067201,-1.333737066846241
Moldova,Orthodox Europe,-1.3233146049104938,0.8436226851786227
Mongolia,Confucian,0.4562513489885115,0.9560392321398992
Montenegro,Orthodox Europe,-0.35187611800910296,0.372416766726474
Morocco,African-Islamic,-0.9168255141191228,-0.33279932519002403
Myanmar,West & South Asia,-0.8906710199880743,-0.7602542112863954
Netherlands,Protestant Europe,2.3726662616635372,0.49960047734791574
New Zealand,English-Speaking,2.7758105596616325,-0.013510795956332656
Nicaragua,Latin America,-0.32119686212105686,-1.5166900884033918
Nigeria,African-Islamic,-0.8193817998753108,-1.0307508308197677
North Ireland,English-Speaking,0.8269711435790876,-0.5413739300513795
North Macedonia,Orthodox Europe,0.22150460888700288,0.011332863568110111
Northern Cyprus,West & South Asia,-0.43696547076956904,-0.03976745666383278
Norway,Protestant Europe,2.270530694542731,0.664341917827588
Pakistan,African-Islamic,-0.5633158166467456,-1.032783002047058
Palestine,African-Islamic,-1.2325645615214842,-0.5747986306890586
Peru,Latin America,-0.34406284125014547,-0.8119719538681248
Philippines,Latin America,0.07155982981459846,-1.210052885684239
Poland,Catholic Europe,-0.1507716099208235,-0.2713855391604478
Portugal,Catholic Europe,-0.08391465601310201,-0.10453021986011775
Puerto Rico,Latin America,0.6997233736080426,-1.473097008362493
Romania,Orthodox Europe,-1.0058744302476432,0.14726924347017648
Russia,Orthodox Europe,-0.5873722227340068,0.8784944650441393
Rwanda,African-Islamic,-0.8023593555944714,-0.9386090655925254
Serbia,Orthodox Europe,-0.1306495233568377,0.5514963354375414
Singapore,West & South Asia,0.0914481794553791,0.2083502514603222
Slovakia,Catholic Europe,0.2433632177481014,0.7796064263344655
Slovenia,Catholic Europe,0.9841781231210692,0.8134940415147616
South Africa,African-Islamic,0.30635886195726336,-0.17690547105981472
South Korea,Confucian,0.031178118507105675,1.310116765083807
Spain,Catholic Europe,0.7278640802196892,0.18158225073523626
Sweden,Protestant Europe,2.8799280776374423,1.0115096105448464
Switzerland,Protestant Europe,2.19004242095795,0.16839124271330214
Taiwan ROC,Confucian,-0.07636867880251837,1.3882199313666161
Thailand,West & South Asia,0.08638381076956032,-0.13916786435764664
Trinidad and Tobago,Latin America,-0.3160067635167916,-1.5649139027753018
Tunisia,African-Islamic,-1.4016090304371673,-0.4040057266000959
Turkey,African-Islamic,-0.8638105851661746,-0.6360893849242581
Ukraine,Orthodox Europe,-0.759311487330501,0.7881904177609174
United States,English-Speaking,1.56866424381054,-0.3315502495065797
Uruguay,Latin America,1.2732372045807565,-0.3297700547471255
Venezuela,Latin America,-0.13075870066900944,-0.8729751331153923
Vietnam,West & South Asia,0.4715499799838314,-0.4251262284559124
Yemen,African-Islamic,-1.138453753515567,-1.0331681615503725
