"ascii","I have nine thin sections. Two go to the lab and I drop one. Ashley gives me four more, but I lose three. How many thin sections do I have now?"
"reverse","?won evah I od snoitces niht ynam woH .eerht esol I tub ,erom ruof em sevig yelhsA .eno pord I dna bal eht ot og owT .snoitces niht enin evah I"
"rot13","V unir avar guva frpgvbaf. Gjb tb gb gur yno naq V qebc bar. Nfuyrl tvirf zr sbhe zber, ohg V ybfr guerr. Ubj znal guva frpgvbaf qb V unir abj?"
"rail-fence-3","I ot hweh  laambv aaennd  yIn  dirtonph eoin en.t  Ahsshileenyc  gtisvieeso cmnet sfio uord nmoosr e.,I  b uTth wIa olvo seeg  tohnr eoet.w oH?"
"atbash","R szev mrmv gsrm hvxgrlmh. Gdl tl gl gsv ozy zmw R wilk lmv. Zhsovb trevh nv ulfi nliv, yfg R olhv gsivv. Sld nzmb gsrm hvxgrlmh wl R szev mld?"
"base32","JEQGQYLWMUQG42LOMUQHI2DJNYQHGZLDORUW63TTFYQFI53PEBTW6IDUN4QHI2DFEBWGCYRAMFXGIICJEBSHE33QEBXW4ZJOEBAXG2DMMV4SAZ3JOZSXGIDNMUQGM33VOIQG233SMUWCAYTVOQQESIDMN5ZWKIDUNBZGKZJOEBEG65ZANVQW46JAORUGS3RAONSWG5DJN5XHGIDEN4QESIDIMF3GKIDON53T6==="
"base64","SSBoYXZlIG5pbmUgdGhpbiBzZWN0aW9ucy4gVHdvIGdvIHRvIHRoZSBsYWIgYW5kIEkgZHJvcCBvbmUuIEFzaGxleSBnaXZlcyBtZSBmb3VyIG1vcmUsIGJ1dCBJIGxvc2UgdGhyZWUuIEhvdyBtYW55IHRoaW4gc2VjdGlvbnMgZG8gSSBoYXZlIG5vdz8="
"spaceful","Ｉ　ｈａｖｅ　ｎｉｎｅ　ｔｈｉｎ　ｓｅｃｔｉｏｎｓ．　Ｔｗｏ　ｇｏ　ｔｏ　ｔｈｅ　ｌａｂ　ａｎｄ　Ｉ　ｄｒｏｐ　ｏｎｅ．　Ａｓｈｌｅｙ　ｇｉｖｅｓ　ｍｅ　ｆｏｕｒ　ｍｏｒｅ，　ｂｕｔ　Ｉ　ｌｏｓｅ　ｔｈｒｅｅ．　Ｈｏｗ　ｍａｎｙ　ｔｈｉｎ　ｓｅｃｔｉｏｎｓ　ｄｏ　Ｉ　ｈａｖｅ　ｎｏｗ？"
"spaceless","IhaveninethinsectionsTwogotothelabandIdroponeAshleygivesmefourmore,butIlosethreeHowmanythinsectionsdoIhavenow?"
"unicode-escape","\u0049\u0020\u0068\u0061\u0076\u0065\u0020\u006E\u0069\u006E\u0065\u0020\u0074\u0068\u0069\u006E\u0020\u0073\u0065\u0063\u0074\u0069\u006F\u006E\u0073\u002E\u0020\u0054\u0077\u006F\u0020\u0067\u006F\u0020\u0074\u006F\u0020\u0074\u0068\u0065\u0020\u006C\u0061\u0062\u0020\u0061\u006E\u0064\u0020\u0049\u0020\u0064\u0072\u006F\u0070\u0020\u006F\u006E\u0065\u002E\u0020\u0041\u0073\u0068\u006C\u0065\u0079\u0020\u0067\u0069\u0076\u0065\u0073\u0020\u006D\u0065\u0020\u0066\u006F\u0075\u0072\u0020\u006D\u006F\u0072\u0065\u002C\u0020\u0062\u0075\u0074\u0020\u0049\u0020\u006C\u006F\u0073\u0065\u0020\u0074\u0068\u0072\u0065\u0065\u002E\u0020\u0048\u006F\u0077\u0020\u006D\u0061\u006E\u0079\u0020\u0074\u0068\u0069\u006E\u0020\u0073\u0065\u0063\u0074\u0069\u006F\u006E\u0073\u0020\u0064\u006F\u0020\u0049\u0020\u0068\u0061\u0076\u0065\u0020\u006E\u006F\u0077\u003F"
"snake-case-upper","I_HAVE_NINE_THIN_SECTIONS_TWO_GO_TO_THE_LAB_AND_I_DROP_ONE_ASHLEY_GIVES_ME_FOUR_MORE_BUT_I_LOSE_THREE_HOW_MANY_THIN_SECTIONS_DO_I_HAVE_NOW"
"snake-case-lower","i_have_nine_thin_sections_two_go_to_the_lab_and_i_drop_one_ashley_gives_me_four_more_but_i_lose_three_how_many_thin_sections_do_i_have_now"
"kebab-case-upper","I-HAVE-NINE-THIN-SECTIONS-TWO-GO-TO-THE-LAB-AND-I-DROP-ONE-ASHLEY-GIVES-ME-FOUR-MORE-BUT-I-LOSE-THREE-HOW-MANY-THIN-SECTIONS-DO-I-HAVE-NOW"
"kebab-case-lower","i-have-nine-thin-sections-two-go-to-the-lab-and-i-drop-one-ashley-gives-me-four-more-but-i-lose-three-how-many-thin-sections-do-i-have-now"
"camel-case","IHaveNineThinSectionsTwoGoToTheLabAndIDropOneAshleyGivesMeFourMoreButILoseThreeHowManyThinSectionsDoIHaveNow"
"url-encode","I%20have%20nine%20thin%20sections.%20Two%20go%20to%20the%20lab%20and%20I%20drop%20one.%20Ashley%20gives%20me%20four%20more%2C%20but%20I%20lose%20three.%20How%20many%20thin%20sections%20do%20I%20have%20now%3F"
